Date,FPP14,FPP11,FPP5
12/9/2017,0.4,0.4,0.4
12/16/2017,0.4,0.4,0.4
12/23/2017,0.5,0.5,0.5
12/30/2017,0.6,0.6,0.6
1/6/2018,0.7,0.7,0.7
1/13/2018,0.9,0.9,0.9
1/20/2018,1,1.1,1.1
1/27/2018,1.2,1.3,1.3
2/3/2018,1.3,1.5,1.5
2/10/2018,1.5,1.7,1.7
2/17/2018,1.6,1.9,1.9
2/24/2018,1.7,2.1,2.1
3/3/2018,1.9,2.3,2.3
3/10/2018,2,2.4,2.5
3/17/2018,2.2,2.6,2.7
3/24/2018,2.3,2.8,2.9
3/31/2018,2.5,3.1,3.1
4/7/2018,2.7,3.3,3.4
4/14/2018,2.9,3.5,3.6
4/21/2018,3.1,3.8,3.9
4/28/2018,3.3,4.1,4.2
5/5/2018,3.5,4.3,4.6
5/12/2018,3.7,4.6,4.9
5/19/2018,4,5,5.3
5/26/2018,4.2,5.3,5.7
6/2/2018,4.5,5.7,6.2
6/9/2018,4.8,6,6.7
6/16/2018,5.1,6.4,7.2
6/23/2018,5.4,6.8,7.7
6/30/2018,5.7,7.2,8.3
7/7/2018,6,7.7,9
7/14/2018,6.4,8.1,9.6
7/21/2018,6.8,8.6,10.3
7/28/2018,7.2,9.1,11
8/4/2018,7.7,9.7,11.8
8/11/2018,8.1,10.3,12.6
8/18/2018,8.6,10.9,13.5
8/25/2018,9.2,11.6,14.5
9/1/2018,9.7,12.3,15.5
9/8/2018,10.3,13.1,16.6
9/15/2018,11,13.9,17.7
9/22/2018,11.6,14.7,19
9/29/2018,12.3,15.6,20.3
10/6/2018,13.1,16.6,21.7
10/13/2018,13.8,17.6,23.2
10/20/2018,14.5,18.5,24.8
10/27/2018,15.3,19.5,26.6
11/3/2018,15.9,20.3,28.2
11/10/2018,16.6,21.2,30
11/17/2018,17.4,22.2,31.9
11/24/2018,18.1,23.1,33.8
12/1/2018,18.9,24.1,36
12/8/2018,19.7,25.2,38.2
12/15/2018,20.6,26.3,40.3
12/22/2018,21.4,27.3,42.5
12/29/2018,22.2,28.4,44.8
1/5/2019,23.1,29.5,47.2
1/12/2019,23.8,30.6,49.4
1/19/2019,24.6,31.8,51.7
1/26/2019,25.3,32.9,53.9
2/2/2019,26,33.9,56.2
2/9/2019,26.7,34.8,58.5
2/16/2019,27.4,35.8,61
2/23/2019,28.2,36.8,63.5
3/2/2019,29,37.8,66.2
3/9/2019,29.8,38.9,69
3/16/2019,30.6,40,71.9
3/23/2019,31.5,41.1,74.4
3/30/2019,32.4,42.5,77
4/6/2019,33.3,44,79.7
4/13/2019,34.2,45.5,82.5
4/20/2019,35.2,47.1,85.4
4/27/2019,36.2,48.8,88.4
5/4/2019,37.2,50.5,91.5
5/11/2019,38.2,52.3,94.7
5/18/2019,39.3,54.1,98
5/25/2019,40.4,56,101.4
6/1/2019,41.5,57.9,104.9
6/8/2019,42.7,60,108.6
